peine,/pɛn/,yen,/jɛn/
yeux,/jø/,peu,/pø/
pis,/pi/,oui,/wi/
spa,/spa/,soi,/swa/
blanc,/blɑ̃/,plan,/plɑ̃/
p,/pe/,b,/be/
pain,/pɛ̃/,bain,/bɛ̃/
par,/paʁ/,bar,/baʁ/
pas,/pa/,bas,/ba/
peau,/po/,beau,/bo/
pis,/pi/,by,/bi/
pont,/pɔ̃/,bon,/bɔ̃/
port,/pɔʁ/,bord,/bɔʁ/
puce,/pys/,bus,/bys/
belle,/bɛl/,tel,/tɛl/
litre,/litʁ/,libre,/libʁ/
t,/te/,b,/be/
tard,/taʁ/,bar,/baʁ/
taux,/to/,beau,/bo/
teint,/tɛ̃/,bain,/bɛ̃/
toit,/twa/,bois,/bwa/
ton,/tɔ̃/,bon,/bɔ̃/
tort,/tɔʁ/,bord,/bɔʁ/
tout,/tu/,bout,/bu/
beau,/bo/,dos,/do/
d,/de/,b,/be/
die,/di/,by,/bi/
dite,/dit/,bit,/bit/
doit,/dwa/,bois,/bwa/
don,/dɔ̃/,bon,/bɔ̃/
donne,/dɔn/,bonne,/bɔn/
douche,/duʃ/,bouche,/buʃ/
doux,/du/,bout,/bu/
belle,/bɛl/,quel,/kɛl/
blanc,/blɑ̃/,clan,/klɑ̃/
canal,/kanal/,banal,/banal/
car,/kaʁ/,bar,/baʁ/
casse,/kas/,basse,/bas/
coup,/ku/,bout,/bu/
cycle,/sikl/,cible,/sibl/
qui,/ki/,by,/bi/
quoi,/kwa/,bois,/bwa/
rock,/ʁɔk/,robe,/ʁɔb/
base,/baz/,gaz,/ɡaz/
gain,/ɡɛ̃/,bain,/bɛ̃/
gare,/ɡaʁ/,bar,/baʁ/
grain,/ɡʁɛ̃/,brin,/bʁɛ̃/
grande,/ɡʁɑ̃d/,brande,/bʁɑ̃d/
gras,/ɡʁa/,bras,/bʁa/
grille,/ɡʁij/,brille,/bʁij/
balle,/bal/,mal,/mal/
bas,/ba/,ma,/ma/
beau,/bo/,mot,/mo/
bois,/bwa/,moi,/mwa/
main,/mɛ̃/,bain,/bɛ̃/
marc,/maʁ/,bar,/baʁ/
masse,/mas/,basse,/bas/
mis,/mi/,by,/bi/
mon,/mɔ̃/,bon,/bɔ̃/
mort,/mɔʁ/,bord,/bɔʁ/
beau,/bo/,nos,/no/
boire,/bwaʁ/,noir,/nwaʁ/
bonne,/bɔn/,bob,/bɔb/
neuf,/nœf/,bœuf,/bœf/
nez,/ne/,b,/be/
ni,/ni/,by,/bi/
noix,/nwa/,bois,/bwa/
non,/nɔ̃/,bon,/bɔ̃/
nord,/nɔʁ/,bord,/bɔʁ/
nous,/nu/,bout,/bu/
bain,/bɛ̃/,fin,/fɛ̃/
basse,/bas/,face,/fas/
bois,/bwa/,foi,/fwa/
bout,/bu/,fou,/fu/
débit,/debi/,défi,/defi/
faux,/fo/,beau,/bo/
foire,/fwaʁ/,boire,/bwaʁ/
fond,/fɔ̃/,bon,/bɔ̃/
fort,/fɔʁ/,bord,/bɔʁ/
foule,/ful/,boule,/bul/
bain,/bɛ̃/,vin,/vɛ̃/
balle,/bal/,val,/val/
bas,/ba/,va,/va/
v,/ve/,b,/be/
veau,/vo/,beau,/bo/
vie,/vi/,by,/bi/
vite,/vit/,bit,/bit/
voit,/vwa/,bois,/bwa/
vont,/vɔ̃/,bon,/bɔ̃/
vous,/vu/,bout,/bu/
bas,/ba/,sa,/sa/
bois,/bwa/,soi,/swa/
c,/se/,b,/be/
cite,/sit/,bit,/bit/
saut,/so/,beau,/bo/
sein,/sɛ̃/,bain,/bɛ̃/
si,/si/,by,/bi/
sien,/sjɛ̃/,bien,/bjɛ̃/
son,/sɔ̃/,bon,/bɔ̃/
